=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
R6   |   26.120 |   26.128 |   26.107 |   26.165 |   24.050 |   26.070 |   29.751 |   26.094 |   26.125 |   26.135 |   24.071 |   26.137 ||   +0.03   -0.05   +0.17   -7.93   -0.19  +13.90   -0.10   +0.02   +0.06   -7.85   +0.06
=== process order3.2
mix  |     base |      g4h |       a4 |   baseAA |     t4p8 |     dsp0 |    m4s4h |       g4 |   dsp0AA |       t4 |     g4p8 |     g4AA ||     g4h%      a4%  baseAA%    t4p8%    dsp0%   m4s4h%      g4%  dsp0AA%      t4%    g4p8%    g4AA%
A    |   28.408 |   24.692 |   23.554 |   28.506 |   24.068 |   28.466 |   24.520 |   24.740 |   28.621 |   24.013 |   24.531 |   24.580 ||  -13.08  -17.09   +0.35  -15.28   +0.20  -13.69  -12.91   +0.75  -15.47  -13.65  -13.47
B    |   61.968 |   59.526 |   59.675 |   62.027 |   59.140 |   62.090 |   59.271 |   59.515 |   61.870 |   58.694 |   59.990 |   59.428 ||   -3.94   -3.70   +0.10   -4.56   +0.20   -4.35   -3.96   -0.16   -5.28   -3.19   -4.10
C    |   37.991 |   36.279 |   36.250 |   38.011 |   35.917 |   38.206 |   35.965 |   36.494 |   38.350 |   35.893 |   36.301 |   36.477 ||   -4.51   -4.58   +0.05   -5.46   +0.56   -5.33   -3.94   +0.94   -5.52   -4.45   -3.98
D    |   23.947 |   17.987 |   13.599 |   23.944 |   12.890 |   23.969 |   12.932 |   17.870 |   23.915 |   12.877 |   17.894 |   17.871 ||  -24.89  -43.21   -0.01  -46.17   +0.09  -46.00  -25.38   -0.13  -46.22  -25.28  -25.37
E    |   25.786 |   17.991 |   15.528 |   25.760 |   14.331 |   25.778 |   15.427 |   17.863 |   25.764 |   14.282 |   17.892 |   17.876 ||  -30.23  -39.78   -0.10  -44.42   -0.03  -40.17  -30.72   -0.09  -44.61  -30.61  -30.68
F    |   27.106 |   23.933 |   23.198 |   27.145 |   20.808 |   27.142 |   25.343 |   23.890 |   27.094 |   22.362 |   21.962 |   23.928 ||  -11.70  -14.42   +0.14  -23.23   +0.13   -6.50  -11.87   -0.05  -17.50  -18.98  -11.72
R1   |   27.433 |   27.236 |   27.174 |   27.355 |   26.219 |   27.299 |   28.857 |   27.246 |   27.203 |   27.272 |   26.234 |   27.274 ||   -0.72   -0.94   -0.29   -4.43   -0.49   +5.19   -0.68   -0.84   -0.59   -4.37   -0.58
R2   |   26.949 |   26.832 |   26.757 |   26.913 |   25.448 |   26.871 |   29.286 |   26.753 |   26.759 |   26.767 |   25.433 |   26.841 ||   -0.44   -0.71   -0.14   -5.57   -0.29   +8.67   -0.73   -0.71   -0.68   -5.63   -0.40
R3   |   26.611 |   26.531 |   26.488 |   26.610 |   24.944 |   26.513 |   29.425 |   26.457 |   26.530 |   26.515 |   24.965 |   26.547 ||   -0.30   -0.46   -0.00   -6.26   -0.37  +10.58   -0.58   -0.30   -0.36   -6.19   -0.24
R4   |   26.460 |   26.394 |   26.341 |   26.453 |   24.642 |   26.420 |   29.532 |   26.318 |   26.374 |   26.371 |   24.669 |   26.401 ||   -0.25   -0.45   -0.03   -6.87   -0.15  +11.61   -0.54   -0.33   -0.34   -6.77   -0.23
R6   |   26.093 |   26.140 |   26.111 |   26.151 |   24.051 |   26.095 |   30.393 |   26.089 |   26.123 |   26.136 |   24.082 |   26.135 ||   +0.18   +0.07   +0.22   -7.83   +0.01  +16.48   -0.01   +0.12   +0.16   -7.71   +0.16
=== process order3.3
mix  |     base |      g4h |       a4 |   baseAA |     t4p8 |     dsp0 |    m4s4h |       g4 |   dsp0AA |       t4 |     g4p8 |     g4AA ||     g4h%      a4%  baseAA%    t4p8%    dsp0%   m4s4h%      g4%  dsp0AA%      t4%    g4p8%    g4AA%
A    |   28.446 |   24.696 |   23.566 |   28.635 |   24.092 |   29.323 |   24.561 |   24.740 |   28.694 |   24.033 |   24.420 |   24.598 ||  -13.18  -17.15   +0.67  -15.31   +3.08  -13.66  -13.03   +0.87  -15.51  -14.16  -13.53
B    |   61.953 |   59.492 |   59.777 |   62.064 |   59.141 |   62.067 |   59.274 |   59.490 |   61.909 |   58.700 |   59.989 |   59.427 ||   -3.97   -3.51   +0.18   -4.54   +0.18   -4.32   -3.97   -0.07   -5.25   -3.17   -4.08
