### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R2   |   26.755 |   25.291 |   26.726 |   25.326 ||   -5.47   -0.11   -5.34
R3   |   26.471 |   24.805 |   26.458 |   24.846 ||   -6.29   -0.05   -6.14
R4   |   26.321 |   24.507 |   26.301 |   24.545 ||   -6.89   -0.07   -6.75
R6   |   26.090 |   23.956 |   26.087 |   23.973 ||   -8.18   -0.01   -8.12
mix  |     g4_0 |   t4p8_1 |     g4_2 |   t4p8_3 ||  t4p8_1%    g4_2%  t4p8_3%
A    |   24.610 |   22.962 |   24.653 |   24.229 ||   -6.70   +0.17   -1.55
B    |   59.403 |   59.129 |   59.418 |   59.101 ||   -0.46   +0.03   -0.51
C    |   36.188 |   35.694 |   36.180 |   35.685 ||   -1.37   -0.02   -1.39
D    |   17.865 |   12.903 |   17.880 |   12.903 ||  -27.77   +0.08  -27.77
E    |   17.872 |   14.724 |   17.868 |   14.744 ||  -17.61   -0.03  -17.50
F    |   23.892 |   20.773 |   23.881 |   20.840 ||  -13.06   -0.05  -12.77
R1   |   27.200 |   26.116 |   27.190 |   26.166 ||   -3.99   -0.04   -3.80
R2   |   26.736 |   25.281 |   26.719 |   25.301 ||   -5.44   -0.06   -5.36
R3   |   26.473 |   24.807 |   26.463 |   24.865 ||   -6.29   -0.04   -6.07
R4   |   26.325 |   24.513 |   26.316 |   24.550 ||   -6.88   -0.04   -6.74
R6   |   26.096 |   23.961 |   26.079 |   23.977 ||   -8.18   -0.07   -8.12
### p-t4p8-g4 : t4p8 g4 t4p8 g4
mix  |   t4p8_0 |     g4_1 |   t4p8_2 |     g4_3 ||    g4_1%  t4p8_2%    g4_3%
A    |   23.012 |   24.635 |   24.190 |   24.638 ||   +7.05   +5.12   +7.07
B    |   59.216 |   59.399 |   59.064 |   59.388 ||   +0.31   -0.26   +0.29
C    |   35.859 |   36.122 |   35.841 |   36.095 ||   +0.73   -0.05   +0.66
D    |   12.905 |   17.872 |   12.903 |   17.857 ||  +38.49   -0.01  +38.37
E    |   14.724 |   17.864 |   14.753 |   17.870 ||  +21.33   +0.20  +21.37
F    |   20.862 |   23.888 |   20.819 |   23.882 ||  +14.51   -0.21  +14.47
R1   |   26.142 |   27.132 |   26.191 |   27.227 ||   +3.79   +0.19   +4.15
R2   |   25.315 |   26.756 |   25.445 |   26.754 ||   +5.69   +0.51   +5.68
